t,w,thrust
1,502741.37125135004,12666100853.837635
6,477015.42639443005,13171356496.868732
12,445098.85287175,13421780991.03521
18,412471.04651291005,13579034472.568504
24,381465.28646919003,13121782857.522438
30,354428.91325534,12168646819.668581
36,329399.23268637003,11394195895.37601
42,305644.60026947,10767569582.405441
48,283061.59694428,10194857543.057116
54,261000.22484459,10091509191.338732
60,238724.30355389,10527064664.10746
66,216084.14759008,10871344324.598843
72,192652.92653299,11197020814.548971
78,168173.90710120002,11270421511.382011
84,142761.84816432002,10658814566.268673
90,117160.18761678001,9778595751.73029
96,90828.69694591001,9249797307.11764
102,65122.71015327,8440883139.18415
108,40381.06073925,7501273503.203021
110,32469.95621408,7298238514.402783
112,24819.21370929,6457609358.666003
114,17714.59641798,4706467076.399469
116,11052.23168742,3149060902.339155
118,6037.3144447,2310478077.164079
120,2710.2144107500003,1581465252.6619182
122,1080.91061771,848770595.0950682
124,1018.76846302,418618367.6325093
